resource_type,name,city_region,latitude,longitude,industrial_type,landuse,power_type,operator,voltage,address,website,phone,description
Industrial Zone,Alfred Herbert India Private Limited,Bengaluru,12.989289,77.737382,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,All India Radio,Bengaluru,13.246986,77.4908,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,"All India Radio, Bengaluru",Bengaluru,12.983049,77.593165,Energy Infrastructure,industrial,,,,,https://allindiaradio.gov.in/station/BANGALORE%20%28Banguluru%29/Pages/default.aspx,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Allied Casting Services,Bengaluru,12.783201,77.741554,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Alps Granites Pvt Ltd,Bengaluru,12.785224,77.747621,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Altius Aerotech,Bengaluru,13.174029,77.74085,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Amara Products Pvt Limited,Bengaluru,12.778365,77.745967,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ananth Technologies,Bengaluru,13.174813,77.725823,Energy Infrastructure,industrial,,,,,https://ananthtech.com/,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,"Animal Quarantine And Certification Services, Hessarghatta office",Bengaluru,13.180687,77.473181,Energy Infrastructure,industrial,,Government,,,http://aqcsindia.gov.in/,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Anish Scaffolding Systems,Bengaluru,12.778525,77.738864,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Anthem Lifesciences Pvt. Ltd.,Bengaluru,12.672788,77.437952,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Anusha Stones Pvt Ltd,Bengaluru,12.783266,77.741123,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Apex Engineering,Bengaluru,13.031347,77.527306,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Apten Forgings Pvt Ltd,Bengaluru,12.781095,77.73961,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Arasu Brick Industries,Bengaluru,12.778922,77.636103,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Aron Universal Limited,Bengaluru,12.77908,77.637453,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Arsom Cnc Pvt Ltd,Bengaluru,12.779643,77.746268,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ashirvad Pipes Pvt Ltd,Bengaluru,12.782817,77.743814,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ashok Leyland,Bengaluru,12.766236,77.787363,Energy Infrastructure,industrial,,Sipcot,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ashwini Plastics & Chemicals,Bengaluru,12.780398,77.745975,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AstraZeneca,Bengaluru,13.12415,77.6146,factory,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ati Motors,Bengaluru,13.029823,77.536319,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Attibele Industrial Area,Bengaluru,12.781599,77.742822,Energy Infrastructure,industrial,,KIADB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Autocrat Engineers,Bengaluru,12.980763,77.724315,factory,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Avak Engineering Plastics,Bengaluru,12.779534,77.745458,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Avana Electrosystems Pvt Ltd,Bengaluru,13.026369,77.512815,Energy Infrastructure,industrial,,,,,http://www.avanaelectrosystems.in,"+91-80-28392133, 28392188.",Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Avana Electrosystems Pvt. Relay unit,Bengaluru,13.032267,77.524752,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Avverahalli Industrial Area,Bengaluru,13.199256,77.252939,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,B P N Pharma,Bengaluru,12.780356,77.741898,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,B.M. Engineering Works,Bengaluru,12.976994,77.631921,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BESCOM,Bengaluru,12.965206,77.636436,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BESCOM,Bengaluru,13.038183,77.558251,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMRCL Batching Plant 1,Bengaluru,13.041528,77.537455,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Central Workshop,Bengaluru,12.95408,77.598608,Energy Infrastructure,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 10 (Hennuru),Bengaluru,13.025577,77.632446,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 11 (Puttenahalli),Bengaluru,13.110167,77.579178,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 12 (Kengeri),Bengaluru,12.903926,77.473789,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 13 (Katriguppe),Bengaluru,12.925016,77.554386,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 14 (RT Nagara),Bengaluru,13.029,77.593065,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 15 (Koramangala),Bengaluru,12.941437,77.625332,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 16 (Deepanajalinagara),Bengaluru,12.950842,77.536548,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 17 (Chandra Layout),Bengaluru,12.958954,77.527326,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 18 (ITPL),Bengaluru,12.977206,77.726213,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 19 (Electronic City),Bengaluru,12.847252,77.672423,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 2 (Shanthinagara),Bengaluru,12.954527,77.595272,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 20 (Banashankari),Bengaluru,12.919103,77.570575,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 21 (Rajarajeshwarinagar),Bengaluru,12.906149,77.519685,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 22 (Peenya),Bengaluru,13.019654,77.501013,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 23 (Kalyana Nagara),Bengaluru,13.026612,77.638523,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 24 (KR Puram),Bengaluru,13.001779,77.684242,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 25 (HSR Layout),Bengaluru,12.920485,77.644322,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 26 (Yeshwanthpura),Bengaluru,13.018651,77.555262,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 27 (Jigani),Bengaluru,12.780792,77.634653,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 28 (Hebbal),Bengaluru,13.04339,77.593941,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 29 (KR Puram),Bengaluru,13.004812,77.691657,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 3 (Shanthinagara),Bengaluru,12.955643,77.595826,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 30 (Yelahanka),Bengaluru,13.110304,77.578238,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 31 (Summanahalli),Bengaluru,12.991864,77.521667,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 32 (Suryacity),Bengaluru,12.789309,77.706398,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 33 (Poornapragna layout),Bengaluru,12.909596,77.536631,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 34 (Kottanur),Bengaluru,12.872263,77.586006,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 35 (Kannahalli),Bengaluru,12.972375,77.442058,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 36 (Bidadi),Bengaluru,12.769376,77.41405,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 37 (Kengeri),Bengaluru,12.913409,77.488002,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 38 (Chikkanagamangala),Bengaluru,12.850409,77.691625,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 39 (Hoskote),Bengaluru,13.067883,77.781371,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 4 (Jayanagara),Bengaluru,12.924741,77.592613,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 40 (Nelamangala),Bengaluru,13.074552,77.44505,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 41 (Gunjuru),Bengaluru,12.922481,77.743234,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 42 (Kodathi),Bengaluru,12.895498,77.704767,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 43 (Shivanapura),Bengaluru,13.067299,77.425374,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 44 (Anjanapura),Bengaluru,12.855325,77.569701,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 45 (MS Palya),Bengaluru,13.08407,77.550024,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 46 (Sadenahalli),Bengaluru,13.18399,77.566903,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 47 (Manduru),Bengaluru,13.085272,77.731239,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 48 (Byrathi),Bengaluru,13.076924,77.654194,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 49 (Bidadi),Bengaluru,12.801794,77.392844,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 50 (Devanahalli),Bengaluru,13.246837,77.717557,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 51 (Sadaramangala),Bengaluru,12.996762,77.726544,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 52 (Uttanahalli),Bengaluru,13.157438,77.658816,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 6 (Indiranagara),Bengaluru,12.981787,77.634385,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 7 (Subashnagar),Bengaluru,12.979071,77.571936,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 8 (Yeshwanthpura),Bengaluru,13.017768,77.555433,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot 9 (Peenya),Bengaluru,13.020198,77.499824,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC Depot Nagadasanahalli,Bengaluru,13.161112,77.591676,depot,industrial,,BMTC,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BMTC I&C Center,Bengaluru,13.182306,77.545074,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BSNL,Bengaluru,12.786052,77.742286,Energy Infrastructure,industrial,,BSNL,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.90824,77.584551,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.001807,77.627865,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.936304,77.58847,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.090788,77.55909,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.011965,77.655365,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.987354,77.589684,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.911482,77.646737,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.873804,77.585086,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.026533,77.634378,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.972235,77.621336,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.866685,77.582012,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.908044,77.652714,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.927428,77.515569,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.9986,77.56445,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.96497,77.607643,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.03405,77.575998,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.039018,77.626035,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.978271,77.51362,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.977646,77.510794,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.916211,77.607084,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.062031,77.504642,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,12.85048,77.573191,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB,Bengaluru,13.032871,77.591141,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Combined Jewel Filters,Bengaluru,13.011838,77.566254,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Indiranagar,Bengaluru,12.971994,77.6446,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Johnson Market Service Station,Bengaluru,12.964273,77.606402,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Kumaraswamy Layout Service Station,Bengaluru,12.909826,77.561779,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Ragigudda,Bengaluru,12.91412,77.595293,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Rajajinagara,Bengaluru,13.008122,77.5512,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Reservoir,Bengaluru,12.909444,77.53736,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Sahakarnagara,Bengaluru,13.059066,77.586962,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Service Station,Bengaluru,13.015237,77.535363,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,BWSSB Service Station,Bengaluru,12.934966,77.478476,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Bangalore Floorings,Bengaluru,12.778077,77.635772,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Bangalore Industries,Bengaluru,12.778965,77.638953,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Bangalore Metropolitian Transport,Bengaluru,12.781152,77.634382,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Bangalore Plastics Pvt. Ltd.,Bengaluru,13.036821,77.738905,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Basant Betons,Bengaluru,12.777091,77.635623,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Basavi Shree Fasteners,Bengaluru,13.033814,77.527168,Energy Infrastructure,,,,,,,+91-9448295120,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Belathu Industries,Bengaluru,13.033607,77.52733,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Bellandur Amani 90MLD Sewage Treatment Plant,Bengaluru,12.940566,77.716814,Energy Infrastructure,industrial,,BWSSB,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
